iter	Passed	Remaining
0	3	1668
1	6	1597
2	9	1604
3	12	1504
4	14	1468
5	18	1511
6	20	1462
7	22	1410
8	25	1392
9	27	1358
10	29	1325
11	32	1303
12	34	1279
13	36	1260
14	38	1247
15	40	1239
16	43	1237
17	45	1230
18	48	1217
19	50	1208
20	52	1199
21	55	1199
22	57	1195
23	59	1189
24	62	1181
25	64	1177
26	66	1173
27	69	1172
28	72	1171
29	74	1169
30	77	1166
31	79	1165
32	81	1157
33	84	1151
34	86	1148
35	89	1148
36	91	1144
37	93	1139
38	95	1132
39	97	1126
40	100	1119
41	102	1115
42	104	1114
43	107	1113
44	109	1111
45	112	1109
46	114	1104
47	116	1097
48	119	1098
49	121	1096
50	123	1091
51	126	1088
52	128	1085
53	130	1081
54	133	1083
55	136	1081
56	138	1077
57	141	1077
58	143	1075
59	146	1070
60	148	1067
61	150	1066
62	153	1065
63	156	1065
64	159	1064
65	161	1065
66	164	1061
67	167	1061
68	169	1059
69	172	1060
70	175	1058
71	177	1055
72	179	1051
73	182	1052
74	185	1052
75	187	1048
76	190	1044
77	193	1044
78	195	1041
79	198	1044
80	202	1047
81	206	1053
82	209	1050
83	211	1046
84	214	1048
85	217	1044
86	219	1043
87	222	1041
88	225	1040
89	228	1040
90	231	1038
91	233	1036
92	236	1033
93	239	1033
94	241	1030
95	244	1028
96	246	1024
97	249	1022
98	251	1019
99	254	1016
100	256	1012
101	258	1009
102	261	1006
103	263	1003
104	266	1001
105	268	999
106	271	998
107	274	997
108	277	995
109	280	992
110	282	990
111	285	988
112	287	985
113	290	983
114	293	981
115	295	978
116	298	975
117	300	972
118	302	969
119	305	966
120	307	963
121	309	960
122	312	957
123	314	955
124	317	952
125	319	948
126	321	945
127	324	942
128	326	938
129	328	935
130	331	932
131	333	929
132	335	926
133	338	923
134	340	921
135	343	920
136	346	917
137	349	915
138	351	913
139	354	911
140	356	908
141	359	907
142	362	904
143	365	903
144	368	902
145	371	900
146	373	897
147	376	895
148	379	892
149	381	890
150	384	889
151	387	886
152	389	883
153	391	880
154	394	877
155	396	874
156	400	874
157	403	872
158	405	870
159	408	867
160	411	866
161	415	866
162	418	865
163	421	864
164	424	861
165	427	859
166	429	857
167	432	855
168	436	854
169	439	852
170	442	851
171	445	849
172	448	847
173	450	844
174	453	841
175	455	838
176	458	835
177	460	832
178	462	830
179	465	827
180	467	824
181	470	821
182	472	818
183	474	814
184	477	812
185	480	810
186	482	807
187	484	804
188	487	802
189	490	799
190	492	797
191	495	795
192	498	792
193	500	789
194	503	786
195	505	784
196	508	782
197	511	780
198	514	778
199	517	776
200	520	774
201	524	773
202	526	770
203	529	767
204	531	765
205	534	763
206	537	761
207	542	761
208	544	758
209	547	756
210	550	753
211	553	751
212	556	749
213	559	747
214	562	744
215	564	742
216	567	740
217	570	738
218	574	737
219	577	735
220	580	732
221	582	729
222	586	728
223	590	727
224	593	725
225	596	722
226	599	720
227	602	718
228	606	717
229	609	715
230	613	714
231	618	714
232	620	711
233	623	708
234	625	705
235	628	702
236	630	699
237	633	697
238	635	694
239	639	692
240	642	690
241	644	687
242	647	685
243	651	683
244	658	685
245	663	685
246	666	682
247	669	680
248	672	677
249	675	675
250	680	675
251	685	674
252	688	671
253	690	668
254	694	666
255	697	664
256	701	662
257	703	660
258	708	658
259	712	657
260	714	654
261	716	651
262	719	648
263	721	645
264	725	643
265	727	640
266	729	637
267	732	634
268	734	631
269	737	628
270	740	626
271	743	623
272	745	619
273	747	616
274	750	613
275	787	638
276	799	643
277	804	642
278	807	639
279	811	637
280	816	636
281	819	633
282	822	630
283	825	627
284	830	626
285	835	624
286	839	622
287	843	620
288	845	617
289	848	614
290	852	612
291	855	609
292	858	606
293	861	603
294	863	600
295	867	597
296	870	594
297	872	591
298	875	588
299	877	585
300	880	582
301	883	579
302	886	576
303	888	572
304	891	569
305	893	566
306	897	564
307	900	561
308	902	558
309	905	554
310	907	551
311	909	548
312	912	545
313	915	542
314	917	538
315	919	535
316	922	532
